Level	Date and Time	Source	Event ID	Task Category
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.392
ProcessGuid: {df655c70-6169-62b7-3904-000000005201}
ProcessId: 14364
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.391
ProcessGuid: {df655c70-6169-62b7-3b04-000000005201}
ProcessId: 2736
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.391
ProcessGuid: {df655c70-6169-62b7-3a04-000000005201}
ProcessId: 10032
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.390
ProcessGuid: {df655c70-6169-62b7-3104-000000005201}
ProcessId: 19376
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.389
ProcessGuid: {df655c70-6169-62b7-3404-000000005201}
ProcessId: 19752
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:54	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:54.388
ProcessGuid: {df655c70-6169-62b7-3e04-000000005201}
ProcessId: 14160
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:45	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:28:44.478
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.32.7
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:45	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:28:44.377
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 13.107.136.9
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:45	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:28:43.483
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.28.107
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:44	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:28:43.369
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 104.18.103.56
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:41	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:28:40.411
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 20.190.159.74
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:28:33	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:33.035
ProcessGuid: {df655c70-61e0-62b7-e904-000000005201}
ProcessId: 5104
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:21	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:21.214
ProcessGuid: {df655c70-61d5-62b7-e604-000000005201}
ProcessId: 22480
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:28:21	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:28:21.082
ProcessGuid: {df655c70-61d4-62b7-e504-000000005201}
ProcessId: 21084
Image: C:\Users\chrsm\AppData\Local\Programs\Opera\opera.exe
User: LAPTOP-ROPR18AK\chrsm"
